source,target,value
Ad Valorem Taxes - Operating,General Fund,97569296
Sales and Use Tax,General Fund,4882276
Franchise Fees,General Fund,15228206
Utility Service Taxes,General Fund,36592965
Licenses and Permits,General Fund,2924286
Intergovernmental,General Fund,17749691
Charges for Services,General Fund,26036670
Fines and Forfeitures,General Fund,4799918
Other,General Fund,78384413
Charges for Services,Water & Sewer/Central Regional Wastewater,117833295
Other,Water & Sewer/Central Regional Wastewater,4720213
Ad Valorem Taxes - Debt Service,Debt Service Funds,4851907
Licenses and Permits,Building Funds,15314804
Charges for Services,Building Funds,56515
Other,Building Funds,119949
Other,Cemetery Perpetual Care,1965000
Charges for Services,Sanitation,15059466
Other,Sanitation,102074
Charges for Services,Parking,10762933
Fines and Forfeitures,Parking,2807000
Other,Parking,284197
Charges for Services,Vehicle Rental,16846376
Other,Vehicle Rental,146900
Charges for Services,Airport,3591685
Other,Airport,3925098
Charges for Services,City Insurance,19248683
Other,City Insurance,162000
